COD_PROGETTO_COMPLESSO;DESCRIZIONE_PROGETTO_COMPLESSO;COD_TIPO_COMPLESSITA;DESCR_TIPO_COMPLESSITA;OC_CODICE_PROGRAMMA;x_CICLO;x_AMBITO;x_PROGRAMMA;QUERY;NOTE
;;;;2017NAPOLI-POZZ;2007-2013;FSC;COLLEGAMENTO PORTO DI POZZUOLI;0;
;;;;FSCCOMUNI;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
;;;;2014TC16I5CB008;2014-2020;CTE;IPA-CBC ITA-ALB-MON;0;
;;;;2014IT05SFOP014;2014-2020;FSE;POR SICILIA FSE;0;
;;;;2014IT05SFOP010;2014-2020;FSE;POR UMBRIA FSE;0;
PC01082SAIUM2017001;Strategia Aree Interne UMBRIA - SUD-OVEST ORVIETANO;SAI;Strategia Aree Interne;2014IT05SFOP010;2014-2020;FSE;POR UMBRIA FSE;0;
;;;;2014IT16RFOP009;2014-2020;FESR;POR FRIULI-VENEZIA GIULIA FESR;0;
PC01441SAIFR2017001;Strategia Aree Interne Regione Friuli Venezia Giulia - Alta Carnia;SAI;Strategia Aree Interne;2014IT16RFOP009;2014-2020;FESR;POR FRIULI-VENEZIA GIULIA FESR;0;
;;;;2014IT05SFOP015;2014-2020;FSE;POR TOSCANA FSE;0;
PC00928STA02;FISH-AGRO TECH CBC;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00949STA23;SECNET;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00939STA13;ENERGY CARE;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00940STA14;MEDS GARDEN;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00941STA15;tARTini;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00942STA16;AGROTUR II;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
